"Division";"Region_Name";"Branch_Name";"Agent_Name";"Branch_ID";"ID";"Length_Service_Category";"unqid"
"UK Insurance";"North";"Manchester";"Mrs F Luckman";16.0;260.0;"5+";123.0
"UK Insurance";"North";"Manchester";"Mrs F Luckman";16.0;260.0;"5+";124.0
"UK Insurance";"North";"Manchester";"Mrs H Eaton";16.0;112.0;"5+";126.0
"UK Insurance";"North";"Manchester";"Mrs H Rawes";16.0;484.0;"2";127.0
"UK Insurance";"North";"Manchester";"Mrs H Rawes";16.0;484.0;"2";128.0
"UK Insurance";"North";"Manchester";"Mrs K Basnett";16.0;38.0;"5+";130.0
"UK Insurance";"North";"Manchester";"Mrs M Brown";16.0;212.0;"5+";132.0
"UK Insurance";"North";"Manchester";"Mrs M Brown";16.0;212.0;"5+";133.0
"UK Insurance";"North";"Newcastle";"Mr D Law";18.0;251.0;"5+";134.0
"UK Insurance";"North";"Newcastle";"Mr D Law";18.0;251.0;"5+";135.0
"UK Insurance";"North";"Newcastle";"Mr F Carimando";18.0;95.0;"5+";138.0
"UK Insurance";"North";"Newcastle";"Mr F Carimando";18.0;95.0;"5+";139.0
"UK Insurance";"North";"Newcastle";"Mr F Carimando";18.0;95.0;"5+";140.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";141.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";142.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";143.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";144.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";145.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";146.0
"UK Insurance";"North";"Newcastle";"Mr R Lee";18.0;154.0;"0";147.0
"UK Insurance";"North";"Newcastle";"Mr R Lee";18.0;154.0;"0";148.0
"UK Insurance";"North";"Newcastle";"Mrs A Adams";18.0;115.0;"5+";150.0
"UK Insurance";"North";"Newcastle";"Mrs A Adams";18.0;115.0;"5+";151.0
"UK Insurance";"North";"Newcastle";"Mrs A Sterland";18.0;406.0;"5+";153.0
"UK Insurance";"North";"Newcastle";"Mrs A Sterland";18.0;406.0;"5+";154.0
"UK Insurance";"North";"Newcastle";"Mrs F Bond";18.0;96.0;"5+";155.0
"UK Insurance";"North";"Newcastle";"Mrs G Geppert";18.0;473.0;"5+";157.0
"UK Insurance";"North";"Newcastle";"Mrs Q Murray";18.0;479.0;"4";159.0
"UK Insurance";"North";"Newcastle";"Mrs Q Murray";18.0;479.0;"4";160.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";162.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";163.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";164.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";165.0
"UK Insurance";"South East";"City";"Miss C Basnett";10.0;254.0;"3";226.0
"UK Insurance";"South East";"City";"Mr A Powell";10.0;166.0;"5+";227.0
"UK Insurance";"South East";"City";"Mr B Harris";10.0;333.0;"3";229.0
"UK Insurance";"South East";"City";"Mr B Harris";10.0;333.0;"3";230.0
"UK Insurance";"South East";"City";"Mr B Harris";10.0;333.0;"3";231.0
"UK Insurance";"South East";"City";"Mr L Lee";10.0;332.0;"5+";234.0
"UK Insurance";"South East";"City";"Mr L Lee";10.0;332.0;"5+";235.0
"UK Insurance";"South East";"City";"Mr N Opperman";10.0;143.0;"0";237.0
"UK Insurance";"South East";"City";"Mr O Hewlett";10.0;5.0;"5+";238.0
"UK Insurance";"South East";"City";"Mr O Hewlett";10.0;5.0;"5+";239.0
"UK Insurance";"South East";"City";"Mrs E Jones";10.0;493.0;"5+";242.0
"UK Insurance";"South East";"City";"Mrs J Garrett";10.0;89.0;"4";244.0
"UK Insurance";"South East";"City";"Mrs J Garrett";10.0;89.0;"4";245.0
"UK Insurance";"South East";"Croydon";"Miss E Pimblett";7.0;113.0;"1";246.0
"UK Insurance";"South East";"Croydon";"Miss E Pimblett";7.0;113.0;"1";247.0
"UK Insurance";"South East";"Croydon";"Miss L Darbyshire";7.0;185.0;"1";248.0
"UK Insurance";"South East";"Croydon";"Mr D Felix";7.0;387.0;"3";249.0
"UK Insurance";"South East";"Croydon";"Mr F Pope";7.0;128.0;"5+";251.0
"UK Insurance";"South East";"Croydon";"Mr F Pope";7.0;128.0;"5+";252.0
"UK Insurance";"South East";"Croydon";"Mr G Howe";7.0;321.0;"0";253.0
"UK Insurance";"South East";"Croydon";"Mr R Garrett";7.0;367.0;"5+";255.0
"UK Insurance";"South East";"Croydon";"Mr S Connolly";7.0;126.0;"2";256.0
"UK Insurance";"South East";"Croydon";"Mrs H Sterland";7.0;161.0;"5+";257.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";258.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";259.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";260.0
"UK Insurance";"South East";"Croydon";"Mrs N Valder";7.0;470.0;"5+";262.0
"UK Insurance";"South East";"Croydon";"Mrs O White";7.0;136.0;"4";263.0
"UK Insurance";"South East";"Croydon";"Mrs O White";7.0;136.0;"4";264.0
"UK Insurance";"South East";"Eastbourne";"Miss N Duffy";5.0;102.0;"5+";267.0
"UK Insurance";"South East";"Eastbourne";"Miss N Duffy";5.0;102.0;"5+";268.0
"UK Insurance";"South East";"Eastbourne";"Mr F Davies";5.0;478.0;"3";269.0
"UK Insurance";"South East";"Eastbourne";"Mr I Geppert";5.0;215.0;"3";270.0
"UK Insurance";"South East";"Eastbourne";"Mr I Geppert";5.0;215.0;"3";271.0
"UK Insurance";"South East";"Eastbourne";"Mrs B Rance";5.0;50.0;"3";273.0
"UK Insurance";"South East";"Eastbourne";"Mrs C Mistry";5.0;270.0;"4";274.0
"UK Insurance";"South East";"Eastbourne";"Mrs C Mistry";5.0;270.0;"4";275.0
"UK Insurance";"South East";"Eastbourne";"Mrs E Gain";5.0;243.0;"1";276.0
"UK Insurance";"South East";"Eastbourne";"Mrs E Hanks";5.0;495.0;"0";277.0
"UK Insurance";"South East";"Eastbourne";"Mrs E Hanks";5.0;495.0;"0";278.0
"UK Insurance";"South East";"Eastbourne";"Mrs I Howe";5.0;418.0;"5+";279.0
"UK Insurance";"South East";"Eastbourne";"Mrs I Howe";5.0;418.0;"5+";280.0
"UK Insurance";"South East";"Eastbourne";"Mrs I Howe";5.0;418.0;"5+";281.0
"UK Insurance";"South East";"Maidstone";"Miss C Lee";15.0;439.0;"5+";283.0
"UK Insurance";"South East";"Maidstone";"Miss C Lee";15.0;439.0;"5+";284.0
"UK Insurance";"South East";"Maidstone";"Mr G Fitzpatrick";15.0;291.0;"1";285.0
"UK Insurance";"South East";"Maidstone";"Mr J Reynolds";15.0;67.0;"5+";286.0
"UK Insurance";"South East";"Maidstone";"Mr N Goodall";15.0;303.0;"5+";287.0
"UK Insurance";"South East";"Maidstone";"Mr S Bond";15.0;309.0;"4";289.0
"UK Insurance";"South East";"Maidstone";"Mr S Bond";15.0;309.0;"4";290.0
"UK Insurance";"South East";"Maidstone";"Mr T Opperman";15.0;155.0;"5+";291.0
"UK Insurance";"South East";"Maidstone";"Mr T Opperman";15.0;155.0;"5+";292.0
"UK Insurance";"South East";"Maidstone";"Mrs C Darbyshire";15.0;24.0;"4";293.0
"UK Insurance";"South East";"Maidstone";"Mrs E Ludlow";15.0;310.0;"5+";295.0
"UK Insurance";"South East";"Maidstone";"Mrs J Weaver";15.0;130.0;"3";296.0
"UK Insurance";"South East";"Maidstone";"Mrs J Weaver";15.0;130.0;"3";297.0
"UK Insurance";"South East";"Maidstone";"Mrs R Opperman";15.0;259.0;"0";299.0
"UK Insurance";"South East";"Marlow";"Mr J Darbyshire";2.0;429.0;"2";300.0
"UK Insurance";"South East";"Marlow";"Mr L Pimblett";2.0;40.0;"3";301.0
"UK Insurance";"South East";"Marlow";"Mr O Howe";2.0;6.0;"0";303.0
"UK Insurance";"South East";"Marlow";"Mr S Bell";2.0;395.0;"5+";305.0
"UK Insurance";"South East";"Marlow";"Mr S Bell";2.0;395.0;"5+";306.0
"UK Insurance";"South East";"Marlow";"Mrs L Wharin";2.0;342.0;"5+";307.0
"UK Insurance";"South East";"Marlow";"Mrs S Mather";2.0;78.0;"5+";308.0
"UK Insurance";"South East";"Marlow";"Mrs S Mather";2.0;78.0;"5+";309.0
"UK Insurance";"South East";"Marlow";"Mrs S Mather";2.0;78.0;"5+";310.0
"UK Insurance";"South West";"Bristol";"Mr A Davies";6.0;404.0;"5+";312.0
"UK Insurance";"South West";"Bristol";"Mr B Ludlow";6.0;344.0;"5+";314.0
"UK Insurance";"South West";"Bristol";"Mr B Ludlow";6.0;344.0;"5+";315.0
"UK Insurance";"South West";"Bristol";"Mr T Jones";6.0;240.0;"5+";320.0
"UK Insurance";"South West";"Bristol";"Mrs A Pimblett";6.0;331.0;"1";322.0
"UK Insurance";"South West";"Bristol";"Mrs A Pimblett";6.0;331.0;"1";323.0
"UK Insurance";"South West";"Exeter";"Mr I Munro";19.0;328.0;"0";324.0
"UK Insurance";"South West";"Exeter";"Mrs D Reading";19.0;370.0;"3";325.0
"UK Insurance";"South West";"Exeter";"Mrs D Reading";19.0;370.0;"3";326.0
"UK Insurance";"South West";"Exeter";"Mrs L McKee";19.0;284.0;"4";328.0
"UK Insurance";"South West";"Exeter";"Mrs L McKee";19.0;284.0;"4";329.0
"UK Insurance";"South West";"Plymouth";"Miss B Sedgwick";20.0;82.0;"5+";330.0
"UK Insurance";"South West";"Plymouth";"Miss B Sedgwick";20.0;82.0;"5+";331.0
"UK Insurance";"South West";"Plymouth";"Miss B Sedgwick";20.0;82.0;"5+";332.0
"UK Insurance";"South West";"Plymouth";"Miss E James";20.0;276.0;"5+";334.0
"UK Insurance";"South West";"Plymouth";"Mr A Darbyshire";20.0;31.0;"5+";336.0
"UK Insurance";"South West";"Plymouth";"Mr A Lloyd";20.0;430.0;"5+";337.0
"UK Insurance";"South West";"Plymouth";"Mr A Lloyd";20.0;430.0;"5+";338.0
"UK Insurance";"South West";"Plymouth";"Mr A Lloyd";20.0;430.0;"5+";339.0
"UK Insurance";"South West";"Plymouth";"Mr B North";20.0;203.0;"5+";340.0
"UK Insurance";"South West";"Plymouth";"Mr B North";20.0;203.0;"5+";341.0
"UK Insurance";"South West";"Plymouth";"Mr G Harper";20.0;71.0;"2";343.0
"UK Insurance";"South West";"Plymouth";"Mr G Harper";20.0;71.0;"2";344.0
"UK Insurance";"South West";"Plymouth";"Mr J Kirby";20.0;317.0;"5+";346.0
"UK Insurance";"South West";"Plymouth";"Mr J Kirby";20.0;317.0;"5+";347.0
"UK Insurance";"South West";"Plymouth";"Mr R James";20.0;221.0;"1";348.0
"UK Insurance";"South West";"Plymouth";"Mrs B Dalton";20.0;32.0;"3";349.0
"UK Insurance";"South West";"Plymouth";"Mrs B Dalton";20.0;32.0;"3";350.0
"UK Insurance";"South West";"Plymouth";"Mrs C Turner";20.0;405.0;"0";351.0
"UK Insurance";"South West";"Plymouth";"Mrs I Staines";20.0;491.0;"5+";353.0
"UK Insurance";"South West";"Plymouth";"Mrs I Staines";20.0;491.0;"5+";354.0
"UK Insurance";"South West";"Plymouth";"Mrs M Coleman";20.0;87.0;"1";355.0
"UK Insurance";"South West";"Plymouth";"Mrs N Ryan";20.0;359.0;"0";357.0
"UK Insurance";"South West";"Truro";"Mr B Daly";21.0;456.0;"0";358.0
"UK Insurance";"South West";"Truro";"Mr B Lunn";21.0;397.0;"5+";359.0
"UK Insurance";"South West";"Truro";"Mr D Murray";21.0;213.0;"4";361.0
"UK Insurance";"South West";"Truro";"Mr G Powell";21.0;160.0;"5+";363.0
"UK Insurance";"South West";"Truro";"Mr G Powell";21.0;160.0;"5+";364.0
"UK Insurance";"South West";"Truro";"Mr I Clark";21.0;233.0;"5+";365.0
"UK Insurance";"South West";"Truro";"Mr I Clark";21.0;233.0;"5+";366.0
"UK Insurance";"South West";"Truro";"Mr I Clark";21.0;233.0;"5+";367.0
"UK Insurance";"South West";"Truro";"Mr I Clark";21.0;233.0;"5+";368.0
"UK Insurance";"South West";"Truro";"Mr P Scott";21.0;41.0;"5+";370.0
"UK Insurance";"South West";"Truro";"Mr Q Dalton";21.0;47.0;"4";371.0
"UK Insurance";"South West";"Truro";"Mr R Lunn";21.0;18.0;"5+";373.0
"UK Insurance";"South West";"Truro";"Mr R Lunn";21.0;18.0;"5+";374.0
"UK Insurance";"South West";"Truro";"Mr S Pazikas";21.0;334.0;"0";375.0
"UK Insurance";"South West";"Truro";"Mr T Bond";21.0;374.0;"5+";376.0
"UK Insurance";"South West";"Truro";"Mr T Hammersley";21.0;339.0;"0";378.0
"UK Insurance";"South West";"Truro";"Mr T Hammersley";21.0;339.0;"0";379.0
"UK Insurance";"South West";"Truro";"Mrs B Daly";21.0;39.0;"5+";380.0
"UK Insurance";"South West";"Truro";"Mrs J Johnson";21.0;204.0;"5+";382.0
"UK Insurance";"South West";"Truro";"Mrs J Johnson";21.0;204.0;"5+";383.0
"UK Insurance";"South West";"Truro";"Mrs J Johnson";21.0;204.0;"5+";384.0
"UK Insurance";"North";"Leeds";"Mr A Fitzpatrick";12.0;385.0;"5+";488.0
"UK Insurance";"North";"Leeds";"Mr A Fitzpatrick";12.0;385.0;"5+";489.0
"UK Insurance";"North";"Leeds";"Mr A Fitzpatrick";12.0;385.0;"5+";490.0
"UK Insurance";"North";"Leeds";"Mr M Pope";12.0;255.0;"3";492.0
"UK Insurance";"North";"Leeds";"Mr M Pope";12.0;255.0;"3";493.0
"UK Insurance";"North";"Leeds";"Mr N Dudding";12.0;365.0;"5+";495.0
"UK Insurance";"North";"Leeds";"Mr N Dudding";12.0;365.0;"5+";496.0
"UK Insurance";"North";"Leeds";"Mr N Dudding";12.0;365.0;"5+";497.0
"UK Insurance";"North";"Leeds";"Mr Q James";12.0;460.0;"0";498.0
"UK Insurance";"North";"Leeds";"Mr R Roddick";12.0;244.0;"0";499.0
"UK Insurance";"North";"Leeds";"Mr T Daly";12.0;28.0;"0";500.0
"UK Insurance";"North";"Leeds";"Mrs D Riddiford";12.0;353.0;"5+";502.0
"UK Insurance";"North";"Leeds";"Mrs F Hanks";12.0;8.0;"0";503.0
"UK Insurance";"North";"Leeds";"Mrs F Hanks";12.0;8.0;"0";504.0
"UK Insurance";"North";"Leeds";"Mrs H Chik";12.0;79.0;"0";505.0
"UK Insurance";"North";"Leeds";"Mrs L Goodall";12.0;19.0;"3";507.0
"UK Insurance";"North";"Liverpool";"Mr I Lavery";14.0;229.0;"1";508.0
"UK Insurance";"North";"Liverpool";"Mr I Lavery";14.0;229.0;"1";509.0
"UK Insurance";"North";"Liverpool";"Mr M Arnold";14.0;196.0;"5+";510.0
"UK Insurance";"North";"Liverpool";"Mr M Carimando";14.0;209.0;"5+";511.0
"UK Insurance";"North";"Liverpool";"Mr M Carimando";14.0;209.0;"5+";512.0
"UK Insurance";"North";"Liverpool";"Mr M Carimando";14.0;209.0;"5+";513.0
"UK Insurance";"North";"Liverpool";"Mr M McKee";14.0;226.0;"5+";514.0
"UK Insurance";"North";"Liverpool";"Mr M McKee";14.0;226.0;"5+";515.0
"UK Insurance";"North";"Liverpool";"Mr Q Basker";14.0;294.0;"3";516.0
"UK Insurance";"North";"Liverpool";"Mrs A Ford";14.0;114.0;"5+";518.0
"UK Insurance";"North";"Liverpool";"Mrs E Weaver";14.0;124.0;"0";519.0
"UK Insurance";"North";"Liverpool";"Mrs N Thompson";14.0;228.0;"5+";521.0
"UK Insurance";"North";"Liverpool";"Mrs P Bond";14.0;211.0;"0";522.0
"UK Insurance";"North";"Liverpool";"Mrs P Bond";14.0;211.0;"0";523.0
"UK Insurance";"North";"Liverpool";"Mrs Q Peace";14.0;249.0;"0";524.0
"UK Insurance";"North";"Manchester";"Mr B Chik";16.0;280.0;"3";525.0
"UK Insurance";"North";"Manchester";"Mr B White";16.0;432.0;"5+";527.0
"UK Insurance";"North";"Manchester";"Mr B White";16.0;432.0;"5+";528.0
"UK Insurance";"North";"Manchester";"Mr H Mistry";16.0;356.0;"2";529.0
"UK Insurance";"North";"Manchester";"Mr H Mistry";16.0;356.0;"2";530.0
"UK Insurance";"North";"Manchester";"Mr H Mistry";16.0;356.0;"2";531.0
"UK Insurance";"North";"Manchester";"Mr K McKee";16.0;420.0;"5+";533.0
"UK Insurance";"North";"Manchester";"Mr L Lunn";16.0;455.0;"1";534.0
"UK Insurance";"North";"Manchester";"Mr L Lunn";16.0;455.0;"1";535.0
"UK Insurance";"North";"Manchester";"Mr M Hearmon";16.0;316.0;"2";536.0
"UK Insurance";"North";"Manchester";"Mr O McKee";16.0;263.0;"0";537.0
"UK Insurance";"North";"Manchester";"Mrs F Luckman";16.0;260.0;"5+";539.0
"UK Insurance";"North";"Manchester";"Mrs F Luckman";16.0;260.0;"5+";540.0
"UK Insurance";"North";"Manchester";"Mrs H Eaton";16.0;112.0;"5+";541.0
"UK Insurance";"North";"Manchester";"Mrs H Eaton";16.0;112.0;"5+";542.0
"UK Insurance";"North";"Manchester";"Mrs H Rawes";16.0;484.0;"2";543.0
"UK Insurance";"North";"Manchester";"Mrs H Rawes";16.0;484.0;"2";544.0
"UK Insurance";"North";"Manchester";"Mrs H Rawes";16.0;484.0;"2";545.0
"UK Insurance";"North";"Manchester";"Mrs K Basnett";16.0;38.0;"5+";547.0
"UK Insurance";"North";"Manchester";"Mrs M Brown";16.0;212.0;"5+";548.0
"UK Insurance";"North";"Manchester";"Mrs M Brown";16.0;212.0;"5+";549.0
"UK Insurance";"North";"Manchester";"Mrs M Brown";16.0;212.0;"5+";550.0
"UK Insurance";"North";"Manchester";"Mrs T Harris";16.0;23.0;"5+";551.0
"UK Insurance";"North";"Newcastle";"Mr D Law";18.0;251.0;"5+";553.0
"UK Insurance";"North";"Newcastle";"Mr D Law";18.0;251.0;"5+";554.0
"UK Insurance";"North";"Newcastle";"Mr D Law";18.0;251.0;"5+";555.0
"UK Insurance";"North";"Newcastle";"Mr E Hanks";18.0;325.0;"3";556.0
"UK Insurance";"North";"Newcastle";"Mr F Carimando";18.0;95.0;"5+";557.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";559.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";560.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";561.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";562.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";563.0
"UK Insurance";"North";"Newcastle";"Mr K Smyth";18.0;457.0;"5+";564.0
"UK Insurance";"North";"Newcastle";"Mrs A Adams";18.0;115.0;"5+";565.0
"UK Insurance";"North";"Newcastle";"Mrs A Adams";18.0;115.0;"5+";566.0
"UK Insurance";"North";"Newcastle";"Mrs A Sterland";18.0;406.0;"5+";568.0
"UK Insurance";"North";"Newcastle";"Mrs A Sterland";18.0;406.0;"5+";569.0
"UK Insurance";"North";"Newcastle";"Mrs A Sterland";18.0;406.0;"5+";570.0
"UK Insurance";"North";"Newcastle";"Mrs F Bond";18.0;96.0;"5+";572.0
"UK Insurance";"North";"Newcastle";"Mrs F Bond";18.0;96.0;"5+";573.0
"UK Insurance";"North";"Newcastle";"Mrs G Geppert";18.0;473.0;"5+";574.0
"UK Insurance";"North";"Newcastle";"Mrs Q Murray";18.0;479.0;"4";575.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";577.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";578.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";579.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";580.0
"UK Insurance";"North";"Newcastle";"Mrs S Boardman";18.0;348.0;"5+";581.0
"UK Insurance";"South East";"City";"Miss C Basnett";10.0;254.0;"3";690.0
"UK Insurance";"South East";"City";"Miss C Basnett";10.0;254.0;"3";691.0
"UK Insurance";"South East";"City";"Mr B Harris";10.0;333.0;"3";692.0
"UK Insurance";"South East";"City";"Mr B Harris";10.0;333.0;"3";693.0
"UK Insurance";"South East";"City";"Mr B Harris";10.0;333.0;"3";694.0
"UK Insurance";"South East";"City";"Mr F Mather";10.0;1.0;"4";695.0
"UK Insurance";"South East";"City";"Mr J Howe";10.0;29.0;"5+";696.0
"UK Insurance";"South East";"City";"Mr J Howe";10.0;29.0;"5+";697.0
"UK Insurance";"South East";"City";"Mr J Howe";10.0;29.0;"5+";698.0
"UK Insurance";"South East";"City";"Mr L Lee";10.0;332.0;"5+";699.0
"UK Insurance";"South East";"City";"Mr L Lee";10.0;332.0;"5+";700.0
"UK Insurance";"South East";"City";"Mr L Lee";10.0;332.0;"5+";701.0
"UK Insurance";"South East";"City";"Mr N Opperman";10.0;143.0;"0";703.0
"UK Insurance";"South East";"City";"Mr N Stevens";10.0;285.0;"2";704.0
"UK Insurance";"South East";"City";"Mr N Stevens";10.0;285.0;"2";705.0
"UK Insurance";"South East";"City";"Mr O Hewlett";10.0;5.0;"5+";706.0
"UK Insurance";"South East";"City";"Mrs E Jones";10.0;493.0;"5+";707.0
"UK Insurance";"South East";"City";"Mrs E Jones";10.0;493.0;"5+";708.0
"UK Insurance";"South East";"City";"Mrs E Jones";10.0;493.0;"5+";709.0
"UK Insurance";"South East";"City";"Mrs J Garrett";10.0;89.0;"4";710.0
"UK Insurance";"South East";"City";"Mrs J Garrett";10.0;89.0;"4";711.0
"UK Insurance";"South East";"City";"Mrs J Garrett";10.0;89.0;"4";712.0
"UK Insurance";"South East";"City";"Mrs O Fitzpatrick";10.0;34.0;"4";713.0
"UK Insurance";"South East";"Croydon";"Miss L Darbyshire";7.0;185.0;"1";714.0
"UK Insurance";"South East";"Croydon";"Mr D Felix";7.0;387.0;"3";715.0
"UK Insurance";"South East";"Croydon";"Mr F Pope";7.0;128.0;"5+";717.0
"UK Insurance";"South East";"Croydon";"Mr F Pope";7.0;128.0;"5+";718.0
"UK Insurance";"South East";"Croydon";"Mr F Pope";7.0;128.0;"5+";719.0
"UK Insurance";"South East";"Croydon";"Mr G Howe";7.0;321.0;"0";720.0
"UK Insurance";"South East";"Croydon";"Mr J Bell";7.0;100.0;"0";721.0
"UK Insurance";"South East";"Croydon";"Mr Q White";7.0;368.0;"2";722.0
"UK Insurance";"South East";"Croydon";"Mr Q White";7.0;368.0;"2";723.0
"UK Insurance";"South East";"Croydon";"Mr R Garrett";7.0;367.0;"5+";725.0
"UK Insurance";"South East";"Croydon";"Mr R Garrett";7.0;367.0;"5+";726.0
"UK Insurance";"South East";"Croydon";"Mr R Garrett";7.0;367.0;"5+";727.0
"UK Insurance";"South East";"Croydon";"Mr R Garrett";7.0;367.0;"5+";728.0
"UK Insurance";"South East";"Croydon";"Mr S Connolly";7.0;126.0;"2";729.0
"UK Insurance";"South East";"Croydon";"Mrs B Kirby";7.0;335.0;"0";730.0
"UK Insurance";"South East";"Croydon";"Mrs D Hawkins";7.0;390.0;"0";731.0
"UK Insurance";"South East";"Croydon";"Mrs D Hawkins";7.0;390.0;"0";732.0
"UK Insurance";"South East";"Croydon";"Mrs D Liddle";7.0;347.0;"2";733.0
"UK Insurance";"South East";"Croydon";"Mrs H Sterland";7.0;161.0;"5+";734.0
"UK Insurance";"South East";"Croydon";"Mrs H Sterland";7.0;161.0;"5+";735.0
"UK Insurance";"South East";"Croydon";"Mrs H Sterland";7.0;161.0;"5+";736.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";738.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";739.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";740.0
"UK Insurance";"South East";"Croydon";"Mrs M Wakelin";7.0;182.0;"5+";741.0
"UK Insurance";"South East";"Croydon";"Mrs N Valder";7.0;470.0;"5+";743.0
"UK Insurance";"South East";"Croydon";"Mrs N Valder";7.0;470.0;"5+";744.0
"UK Insurance";"South East";"Croydon";"Mrs N Valder";7.0;470.0;"5+";745.0
"UK Insurance";"South East";"Croydon";"Mrs Q Coleman";7.0;92.0;"5+";746.0
"UK Insurance";"South East";"Croydon";"Mrs Q Coleman";7.0;92.0;"5+";747.0
"UK Insurance";"South East";"Croydon";"Mrs Q Coleman";7.0;92.0;"5+";748.0
"UK Insurance";"South East";"Eastbourne";"Miss N Duffy";5.0;102.0;"5+";749.0
"UK Insurance";"South East";"Eastbourne";"Mr F Davies";5.0;478.0;"3";750.0
"UK Insurance";"South East";"Eastbourne";"Mr I Geppert";5.0;215.0;"3";751.0
"UK Insurance";"South East";"Eastbourne";"Mr I Geppert";5.0;215.0;"3";752.0
"UK Insurance";"South East";"Eastbourne";"Mr M Reynolds";5.0;51.0;"0";754.0
"UK Insurance";"South East";"Eastbourne";"Mr M Reynolds";5.0;51.0;"0";755.0
"UK Insurance";"South East";"Eastbourne";"Mrs B Rance";5.0;50.0;"3";756.0
"UK Insurance";"South East";"Eastbourne";"Mrs B Rance";5.0;50.0;"3";757.0
"UK Insurance";"South East";"Eastbourne";"Mrs C Mistry";5.0;270.0;"4";758.0
"UK Insurance";"South East";"Eastbourne";"Mrs C Mistry";5.0;270.0;"4";759.0
"UK Insurance";"South East";"Eastbourne";"Mrs C Mistry";5.0;270.0;"4";760.0
